date,event_time,year,month,equipment_category,equipment_id,fuel_liter,status_text,source_sheet,source_file,source_row,source_event_key,data_status,issue_code
2026-08-23,10:11:22,2026,8,HEAD_TRUCK,145,67.76,online,N/A,ujb_dashboard_scrape,92,9750312e62cc61aa60abe31303bc8287fde3153a,VALID,
2026-08-23,10:09:27,2026,8,HEAD_TRUCK,150,76.67,online,N/A,ujb_dashboard_scrape,93,a4af707fcb2e18335a0babf8d93e9720029c4787,VALID,
2026-08-23,10:06:59,2026,8,ELF,02,30.0,online,N/A,ujb_dashboard_scrape,94,8d4647f2e7e6c4a026ef8a7eeea40f22d6770a41,VALID,
2026-08-23,10:01:37,2026,8,HEAD_TRUCK,211,92.95,online,N/A,ujb_dashboard_scrape,95,3947c8422e133c3a5a7f3025d434e51f4d8ed4c4,VALID,
2026-08-23,09:58:20,2026,8,HEAD_TRUCK,165,60.6,online,N/A,ujb_dashboard_scrape,96,c02b5a4af9c1f7c046ac5160eb64f93d092ea4c7,VALID,
2026-08-23,09:56:26,2026,8,HEAD_TRUCK,155,62.92,online,N/A,ujb_dashboard_scrape,97,a9623722744dcd174bd65366fa3244fcbc8b6f5e,VALID,
2026-08-23,09:54:03,2026,8,HEAD_TRUCK,163,69.58,online,N/A,ujb_dashboard_scrape,98,c28c348297ea780203dbcf42038ff5635158a23e,VALID,
2026-08-23,09:51:53,2026,8,HEAD_TRUCK,197,76.1,online,N/A,ujb_dashboard_scrape,99,16cb27c6b93a161a2717b96a01702d0fd212e469,VALID,
2026-08-23,09:51:32,2026,8,HEAD_TRUCK,209,89.29,online,N/A,ujb_dashboard_scrape,100,300b5491aa6949ef92616ebfe27deca6fd4d827f,VALID,
2026-08-23,09:48:37,2026,8,HEAD_TRUCK,183,77.24,online,N/A,ujb_dashboard_scrape,101,9049fef81f2f65f08d40ab79c7a12ba96dd8cd72,VALID,
2026-08-23,09:48:16,2026,8,HEAD_TRUCK,214,78.81,online,N/A,ujb_dashboard_scrape,102,83a5bdc9042bceaba6c4164fa85922504cd36656,VALID,
2026-08-23,09:46:35,2026,8,HEAD_TRUCK,190,54.23,online,N/A,ujb_dashboard_scrape,103,6357a34cf328f49dadacf301a66c69fc78680a3e,VALID,
2026-08-23,09:37:44,2026,8,HEAD_TRUCK,137,71.15,online,N/A,ujb_dashboard_scrape,104,27d9d2c3a0b4c012b4196cc809c956d39c7d81e5,VALID,
2026-08-23,09:34:19,2026,8,HEAD_TRUCK,154,77.01,online,N/A,ujb_dashboard_scrape,105,1c84d925c44f29050d8f10b6a547b410be74a640,VALID,
2026-08-23,09:32:06,2026,8,HEAD_TRUCK,192,74.19,online,N/A,ujb_dashboard_scrape,106,1cdbe26717fc698df8176d0a6c2aea7209fcd21b,VALID,
2026-08-23,09:31:17,2026,8,HEAD_TRUCK,157,54.76,online,N/A,ujb_dashboard_scrape,107,61cf1b4e737f799a3926e63db070fb0df142b0e6,VALID,
2026-08-23,09:28:17,2026,8,ELF,01,30.0,online,N/A,ujb_dashboard_scrape,108,2f632a700305608036aa74e0b57c0976afd8ba3e,VALID,
2026-08-23,09:28:03,2026,8,HEAD_TRUCK,196,69.33,online,N/A,ujb_dashboard_scrape,109,0b860da6012e61935bbc60a4851e430eb7a41594,VALID,
2026-08-23,09:25:38,2026,8,HEAD_TRUCK,141,94.34,online,N/A,ujb_dashboard_scrape,110,9daccf151ca03080c64ca44054eb7456242c9f67,VALID,
2026-08-23,09:22:33,2026,8,HEAD_TRUCK,204,65.26,online,N/A,ujb_dashboard_scrape,111,4c4c53ba5f6f1a410f470e8e70f11be917144750,VALID,
2026-08-23,09:20:11,2026,8,HEAD_TRUCK,175,71.47,online,N/A,ujb_dashboard_scrape,112,354bbd6335a781411c3a01dc9d2a6b8da99ce4de,VALID,
2026-08-23,09:19:27,2026,8,HEAD_TRUCK,168,75.41,online,N/A,ujb_dashboard_scrape,113,505a9a040dd7881c1f41a3ce662e342871a3b1ec,VALID,
2026-08-23,09:17:05,2026,8,HEAD_TRUCK,216,70.76,online,N/A,ujb_dashboard_scrape,114,66ea8dacc53026fc609aca5d41c63c66b9ab29ef,VALID,
2026-08-23,09:16:05,2026,8,HEAD_TRUCK,139,73.57,online,N/A,ujb_dashboard_scrape,115,687f4f34bcb7b39194966685cd791fc4610b4516,VALID,
2026-08-23,09:13:32,2026,8,HEAD_TRUCK,207,76.07,online,N/A,ujb_dashboard_scrape,116,db402153bc4ffcb5aeec7d67d59d2ffb24ce577a,VALID,
2026-08-23,09:12:43,2026,8,HEAD_TRUCK,132,74.83,online,N/A,ujb_dashboard_scrape,117,29a3efaf3edab15b4cf9638d67a8f5f03d173686,VALID,
2026-08-23,09:10:23,2026,8,HEAD_TRUCK,144,71.9,online,N/A,ujb_dashboard_scrape,118,7973da30b13b983619f18c6dad2c3afc66bfffdc,VALID,
2026-08-23,09:08:21,2026,8,HEAD_TRUCK,140,79.3,online,N/A,ujb_dashboard_scrape,119,f88f4789ef6719977f26f0478871bf6a55a87e9c,VALID,
2026-08-23,09:06:29,2026,8,HEAD_TRUCK,158,92.35,online,N/A,ujb_dashboard_scrape,120,eee232967ae95e3c069dc826ef984b94a6fcaea2,VALID,
2026-08-23,09:04:16,2026,8,HEAD_TRUCK,164,67.31,online,N/A,ujb_dashboard_scrape,121,5b5eae1440319d17bd5762dd17137cc2ddda7b7a,VALID,
2026-08-23,09:02:18,2026,8,HEAD_TRUCK,170,84.1,online,N/A,ujb_dashboard_scrape,122,db17065ea36c9522c7e187267d6d30184c353bba,VALID,
