date,equipment_id,equipment_category,fuel_liter,expected_fuel,deviation_liter,deviation_percentage,robust_z_score,isolation_score,anomaly_type,severity,anomaly_reason
2025-03-23,B 7697 TK,BUS,50.07,50.05,0.020000000000003126,0.03996003996004621,0.0026991929175470553,0.19127154913149164,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-24,B 7697 TK,BUS,50.02,50.07,-0.04999999999999716,-0.09986019572597794,-0.006744512101268932,0.1753732729944632,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-25,B 7697 TK,BUS,50.06,50.05,0.010000000000005116,0.019980019980030204,0.0013491722392841798,0.20982432129393191,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-26,B 7697 TK,BUS,50.22,50.06,0.1599999999999966,0.31961646024769597,0.021583055347549937,0.2180734003756183,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-27,B 7697 TK,BUS,50.16,50.06,0.09999999999999432,0.19976028765480283,0.013491722392834127,0.22063279976805178,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-28,B 7697 TK,BUS,50.22,50.07,0.14999999999999858,0.29958058717794805,0.020231224296002943,0.2130281180901304,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-29,B 7697 TK,BUS,50.07,50.07,0.0,0.0,0.0,0.20920915166550264,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-30,B 7697 TK,BUS,36.28,50.07,-13.79,-27.541441981226285,-1.8558946350387022,-0.05406857464592352,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-04-01,B 7697 TK,BUS,50.3,50.07,0.22999999999999687,0.45935690033951837,0.03222052926492232,0.21400104239624468,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-04-02,B 7697 TK,BUS,50.31,50.16,0.15000000000000568,0.2990430622009683,0.020995945501346317,0.2209589229682093,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-04-03,B 7697 TK,BUS,47.09,50.22,-3.1299999999999955,-6.23257666268418,-0.4377909238889717,0.14920711479459098,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-04-04,B 7697 TK,BUS,50.49,50.16,0.3300000000000054,0.6578947368421161,0.04658886233151853,0.20551327048049733,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-04-05,B 7697 TK,BUS,47.27,50.22,-2.9499999999999957,-5.874153723616081,-0.4160656393102243,0.14167677472328344,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-04-06,B 7697 TK,BUS,43.13,50.07,-6.939999999999998,-13.860595166766524,-0.987514302297268,0.04219998447370976,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-04-07,B 7697 TK,BUS,22.45,47.27,-24.820000000000004,-52.506875396657506,-3.607161301414942,-0.1311910469633455,LOW_VS_OWN_PATTERN|MULTIVARIATE_OUTLIER,HIGH,"Konsumsi jauh di bawah pola normal unit ini. Kombinasi pola (nilai, hari, bulan) terdeteksi sebagai outlier oleh Isolation Forest."
2025-04-08,B 7697 TK,BUS,44.31,47.27,-2.960000000000001,-6.2618997249841355,-0.44931287371601125,0.08764645123149173,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-04-09,B 7697 TK,BUS,47.07,47.09,-0.020000000000003126,-0.04247186239117249,-0.0030955110646604224,0.14915489727287,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-04-10,B 7697 TK,BUS,50.48,47.07,3.4099999999999966,7.244529424261731,0.5334505263967547,0.209605225371792,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-04-11,B 7697 TK,BUS,50.2,47.07,3.1300000000000026,6.649670703207994,0.48420938488847187,0.2240326635463144,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-04-12,B 7697 TK,BUS,50.51,47.07,3.4399999999999977,7.308264287231777,0.5326723683946619,0.18648195219752778,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-04-13,B 7697 TK,BUS,50.17,47.07,3.1000000000000014,6.585935840237947,0.4749773674916431,0.18922335829293452,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-04-14,B 7697 TK,BUS,50.8,50.17,0.6299999999999955,1.2557305162447585,0.09437164244946536,0.13314201068937048,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-04-15,B 7697 TK,BUS,50.25,50.2,0.04999999999999716,0.09960159362549234,0.006871730004325993,0.21725673003109774,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-04-16,B 7697 TK,BUS,50.15,50.25,-0.10000000000000142,-0.19900497512438092,-0.013509866806033647,0.22734322773979432,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-04-17,B 7697 TK,BUS,50.39,50.25,0.14000000000000057,0.27860696517413047,0.018748580530751156,0.21638634095457865,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
