year,month,month_name,equipment_category,workbook_reported_total,recalculated_total,difference_liter,difference_percentage,validation_status
2026,4,April 2026,SUPPORT,900.5,900.5,0.0,0.0,MATCH
2026,5,Mei 2026,BUS,4216.97,4216.97,0.0,0.0,MATCH
2026,5,Mei 2026,HEAD_TRUCK,182915.41,182915.41,0.0,0.0,MATCH
2026,5,Mei 2026,KEND_OPS,5399.1,5399.1,0.0,0.0,MATCH
2026,5,Mei 2026,MODUL,2069.45,2069.45,0.0,0.0,MATCH
2026,5,Mei 2026,RTGC,346336.08,346336.08,0.0,0.0,MATCH
2026,5,Mei 2026,SUPPORT,1140.85,1140.85,0.0,0.0,MATCH
2026,6,Juni 2026,BUS,4229.4,4229.4,0.0,0.0,MATCH
2026,6,Juni 2026,COMPRESSOR,71.22999999999999,51.41,-19.819999999999993,-27.83,REQUIRES REVIEW
2026,6,Juni 2026,HEAD_TRUCK,179887.26,179887.26,0.0,0.0,MATCH
2026,6,Juni 2026,KEND_OPS,5667.62,5667.62,0.0,0.0,MATCH
2026,6,Juni 2026,RTGC,341320.88,341320.876,-0.0040000000153668225,-0.0,MATCH
2026,6,Juni 2026,SUPPORT,1166.65,1166.65,0.0,0.0,MATCH
2026,7,Juli 2026,BUS,2918.85,2918.85,0.0,0.0,MATCH
2026,7,Juli 2026,HEAD_TRUCK,120536.67,120536.67,0.0,0.0,MATCH
2026,7,Juli 2026,KEND_OPS,3594.1099999999997,3594.11,4.547473508864641e-13,0.0,MATCH
2026,7,Juli 2026,MODUL,2000.0,2000.0,0.0,0.0,MATCH
2026,7,Juli 2026,RTGC,243461.86,243462.06,0.20000000001164153,0.0,MATCH
2026,7,Juli 2026,SUPPORT,1629.62,1629.6200000000001,2.2737367544323206e-13,0.0,MATCH
